,spearman_home_goals,spearman_away_goals,spearman_total_goals,spearman_goal_diff,rf_home_goals,rf_away_goals,rf_total_goals,rf_goal_diff,abs_spearman_mean,rf_importance_mean,abs_spearman_mean_z,rf_importance_mean_z,combined_score
home_xpts_10,0.2264902400208624,-0.2324719024637693,0.0029595960380892627,0.3184843229180032,0.02559999286858759,0.08510081078752602,0.018845745874472374,0.0993000246167869,0.19510151536018105,0.057211643536843215,2.3246339982912834,5.784890874935902,8.109524873227185
home_deep_10,0.24772190892814416,-0.17253621852099232,0.06110034931675482,0.2983579474367903,0.054432919435061386,0.02098779062633336,0.02624751963663126,0.043094911048757054,0.1949291060506704,0.036190785186695766,2.3213660865518926,3.462322090159437,5.78368817671133
away_deep_10,-0.14312386443989675,0.18341946076205334,0.03396113249550583,-0.22077345458977654,0.015347724737494087,0.08051738936607025,0.017387059922427634,0.06419994446552517,0.14531947807180812,0.04436302962287929,1.3810462968660295,4.3652633265676,5.74630962343363
home_xg_conceded_10,-0.17937797981439493,0.21734831704312288,0.027990819442438197,-0.2734446565042481,0.021211771545117882,0.06312403605109138,0.02253215961174351,0.03189286350302973,0.17454044320105103,0.034690207677745624,1.934911602940388,3.2965251268113267,5.231436729751715
home_xg_scored_5,0.22334585118979877,-0.1666608663124829,0.059390829030433204,0.27460543532195025,0.04955042369329636,0.02153098367750108,0.016477735364361163,0.02817923220751578,0.1810007454636663,0.028934593735668594,2.0573626333629065,2.6605944213937454,4.717957054756652
home_xpts_5,0.22353403305573388,-0.19353529209926773,0.033173937439645244,0.2921819524706675,0.02278178350745073,0.024627936189370835,0.018809464718097538,0.027707595565505748,0.18560630376632858,0.02348169499510621,2.14465814012201,2.0581103462708925,4.202768486392903
away_xg_conceded_5,0.16457789552025182,-0.09062462682382517,0.06100185325634473,0.17428854350214773,0.050972577037685166,0.020293294278405018,0.03693761906799095,0.027846707543522746,0.12262322977564236,0.034012549481900974,0.9508529595242938,3.221651506229336,4.172504465753629
home_deep_5,0.2240101960544666,-0.16632233543783478,0.05045854332701105,0.27727399435877087,0.026575739205611036,0.019159492155580885,0.028650329096072864,0.016608971711991636,0.17951626729452083,0.022748633042314104,2.029225268567531,1.9771152327269073,4.006340501294439
home_goals_scored_ewma,0.21665743856204497,-0.1902213369449018,0.01950550231776027,0.2837279159939531,0.02899581929680108,0.01534716430621047,0.015974444824547997,0.02963846104183825,0.17752804845466502,0.02248897236734945,1.991539811177299,1.9484256441163326,3.9399654552936316
home_ppda_5,-0.17591405970710716,0.08359831551323997,-0.06471844805065469,-0.18506245724851464,0.01792462553026305,0.03771413334484937,0.03605896634327593,0.016353175660072643,0.12732332012987913,0.027012725219615247,1.039940262805092,2.4482495328321967,3.4881897956372887
home_xg_scored_ewma,0.23062964021386415,-0.18197238863811968,0.04368946640816279,0.290929674669297,0.021811210605038413,0.013167022321098643,0.012716685183996074,0.018162909055819285,0.18680529248236089,0.016464456791488103,2.1673842290532876,1.2827843279139892,3.450168556967277
away_xpts_10,-0.16705389078751043,0.1465660479328328,-0.024835227633824987,-0.21510061833147037,0.034025443690409725,0.01592880897643436,0.013859400504405673,0.03008733879505398,0.13838894617140965,0.023475247991575937,1.2496823547342606,2.0573980247802406,3.307080379514501
home_xg_scored_10,0.22141435271443385,-0.1881836833168492,0.036077454275723585,0.28595052574212587,0.01466429049472965,0.01650862769262079,0.013438409424949394,0.018180833663277895,0.18290650401228314,0.01569804031889443,2.093485106976113,1.1981039145010868,3.2915890214771997
home_goals_scored_10,0.19952275032377528,-0.21019373221912113,-0.004851056903359348,0.28421150159120057,0.010907578546985581,0.018820248101917705,0.009205922914649937,0.027929532205117926,0.1746947602593641,0.016715820442167788,1.9378365872575394,1.3105571885161347,3.248393775773674
